category,num_personas_sharing,num_attributes
additionalAttributes,1,205
additionalAttributes,2,73
additionalAttributes,3,40
additionalAttributes,4,23
additionalAttributes,5,8
additionalAttributes,6,3
additionalAttributes,7,3
additionalAttributes,8,1
additionalAttributes,9,2
additionalAttributes,10,1
additionalAttributes,12,1
additionalAttributes,13,1
additionalAttributes,15,2
additionalAttributes,19,1
additionalAttributes,22,1
additionalAttributes,24,1
aspirationsAndGoals,1,172
aspirationsAndGoals,2,78
aspirationsAndGoals,3,56
aspirationsAndGoals,4,38
aspirationsAndGoals,5,33
aspirationsAndGoals,6,19
aspirationsAndGoals,7,7
aspirationsAndGoals,8,2
aspirationsAndGoals,9,3
aspirationsAndGoals,11,1
demographics,1,369
demographics,2,185
demographics,3,110
demographics,4,109
demographics,5,76
demographics,6,62
demographics,7,39
demographics,8,30
demographics,9,18
demographics,10,10
demographics,11,12
demographics,12,6
demographics,13,13
demographics,14,14
demographics,15,3
demographics,16,7
demographics,17,11
demographics,18,4
demographics,19,5
demographics,20,5
demographics,21,2
demographics,22,3
demographics,23,4
demographics,24,2
demographics,26,3
demographics,27,4
demographics,28,4
demographics,29,6
demographics,31,1
demographics,34,2
demographics,35,1
demographics,38,1
demographics,40,2
demographics,43,2
demographics,44,1
demographics,45,2
demographics,47,1
demographics,48,1
demographics,49,1
demographics,58,1
demographics,59,1
demographics,66,1
demographics,94,1
demographics,95,1
demographics,97,1
demographics,103,1
demographics,124,1
demographics,148,1
demographics,156,1
demographics,224,1
demographics,369,1
demographics,625,1
familyRelationships,1,232
familyRelationships,2,130
familyRelationships,3,83
familyRelationships,4,83
familyRelationships,5,45
familyRelationships,6,31
familyRelationships,7,7
familyRelationships,8,7
familyRelationships,9,6
familyRelationships,10,3
familyRelationships,11,2
familyRelationships,12,3
familyRelationships,13,2
familyRelationships,14,4
familyRelationships,15,3
familyRelationships,16,3
familyRelationships,17,1
familyRelationships,18,2
familyRelationships,19,2
familyRelationships,21,1
familyRelationships,24,2
familyRelationships,26,1
familyRelationships,27,1
familyRelationships,32,1
familyRelationships,40,2
familyRelationships,41,3
familyRelationships,47,1
familyRelationships,57,1
familyRelationships,61,1
favoritesAndPreferences,1,510
favoritesAndPreferences,2,239
favoritesAndPreferences,3,138
favoritesAndPreferences,4,114
favoritesAndPreferences,5,53
favoritesAndPreferences,6,46
favoritesAndPreferences,7,28
favoritesAndPreferences,8,13
favoritesAndPreferences,9,10
favoritesAndPreferences,10,5
favoritesAndPreferences,11,5
favoritesAndPreferences,12,5
favoritesAndPreferences,13,2
favoritesAndPreferences,14,4
favoritesAndPreferences,15,2
favoritesAndPreferences,17,3
favoritesAndPreferences,19,1
favoritesAndPreferences,20,1
favoritesAndPreferences,21,2
favoritesAndPreferences,22,1
favoritesAndPreferences,23,1
favoritesAndPreferences,26,1
favoritesAndPreferences,29,1
favoritesAndPreferences,32,1
favoritesAndPreferences,64,1
favoritesAndPreferences,69,1
favoritesAndPreferences,71,1
healthAndDisabilities,1,51
healthAndDisabilities,2,39
healthAndDisabilities,3,28
healthAndDisabilities,4,26
healthAndDisabilities,5,16
healthAndDisabilities,6,13
healthAndDisabilities,7,11
healthAndDisabilities,8,8
healthAndDisabilities,9,1
healthAndDisabilities,10,3
healthAndDisabilities,11,1
healthAndDisabilities,12,1
healthAndDisabilities,13,2
healthAndDisabilities,14,1
healthAndDisabilities,18,1
healthAndDisabilities,20,1
healthAndDisabilities,22,1
healthAndDisabilities,34,1
healthAndDisabilities,51,1
hobbiesAndInterests,1,626
hobbiesAndInterests,2,289
hobbiesAndInterests,3,198
hobbiesAndInterests,4,135
hobbiesAndInterests,5,86
hobbiesAndInterests,6,46
hobbiesAndInterests,7,40
hobbiesAndInterests,8,27
hobbiesAndInterests,9,11
hobbiesAndInterests,10,18
hobbiesAndInterests,11,4
hobbiesAndInterests,12,4
hobbiesAndInterests,13,6
hobbiesAndInterests,14,1
hobbiesAndInterests,15,4
hobbiesAndInterests,16,4
hobbiesAndInterests,17,3
hobbiesAndInterests,18,1
hobbiesAndInterests,19,4
hobbiesAndInterests,20,1
hobbiesAndInterests,21,6
hobbiesAndInterests,22,2
hobbiesAndInterests,23,3
hobbiesAndInterests,24,3
hobbiesAndInterests,27,1
hobbiesAndInterests,28,2
hobbiesAndInterests,29,2
hobbiesAndInterests,30,1
hobbiesAndInterests,31,1
hobbiesAndInterests,32,1
hobbiesAndInterests,33,2
hobbiesAndInterests,34,1
hobbiesAndInterests,36,1
hobbiesAndInterests,38,1
hobbiesAndInterests,40,1
hobbiesAndInterests,42,1
hobbiesAndInterests,46,1
hobbiesAndInterests,50,1
hobbiesAndInterests,51,1
hobbiesAndInterests,58,1
hobbiesAndInterests,67,2
hobbiesAndInterests,70,1
hobbiesAndInterests,71,1
hobbiesAndInterests,79,1
hobbiesAndInterests,89,1
hobbiesAndInterests,94,1
hobbiesAndInterests,95,1
hobbiesAndInterests,100,1
hobbiesAndInterests,111,1
hobbiesAndInterests,139,1
hobbiesAndInterests,191,1
lifestyleAndHabits,1,350
lifestyleAndHabits,2,167
lifestyleAndHabits,3,88
lifestyleAndHabits,4,35
lifestyleAndHabits,5,27
lifestyleAndHabits,6,18
lifestyleAndHabits,7,5
lifestyleAndHabits,8,6
lifestyleAndHabits,9,5
lifestyleAndHabits,10,2
lifestyleAndHabits,11,2
lifestyleAndHabits,12,1
lifestyleAndHabits,13,1
lifestyleAndHabits,15,1
lifestyleAndHabits,42,1
personalityTraitsAndEmotions,1,190
personalityTraitsAndEmotions,2,97
personalityTraitsAndEmotions,3,64
personalityTraitsAndEmotions,4,57
personalityTraitsAndEmotions,5,27
personalityTraitsAndEmotions,6,21
personalityTraitsAndEmotions,7,5
personalityTraitsAndEmotions,8,7
personalityTraitsAndEmotions,9,5
personalityTraitsAndEmotions,10,5
personalityTraitsAndEmotions,11,1
personalityTraitsAndEmotions,12,2
personalityTraitsAndEmotions,14,1
personalityTraitsAndEmotions,15,1
personalityTraitsAndEmotions,16,1
personalityTraitsAndEmotions,17,2
personalityTraitsAndEmotions,18,1
personalityTraitsAndEmotions,19,1
personalityTraitsAndEmotions,21,1
personalityTraitsAndEmotions,23,1
personalityTraitsAndEmotions,28,1
pets,1,41
pets,2,36
pets,3,31
pets,4,19
pets,5,9
pets,6,10
pets,7,2
pets,8,5
pets,9,1
pets,10,3
pets,11,1
pets,13,1
pets,14,1
pets,15,3
pets,19,2
pets,20,1
pets,36,1
pets,85,1
pets,116,1
