category,attribute1,attribute2,word_overlap,string_similarity,combined_score
additionalAttributes,born on Christmas Day,born on christmas day,1.0,1.0,2.0
additionalAttributes,owns iPhone,owns iphone,1.0,1.0,2.0
additionalAttributes,watched eclipse without eye protection,watched solar eclipse without eye protection,0.83,0.93,1.76
additionalAttributes,has never traveled internationally,never traveled internationally,0.75,0.94,1.69
additionalAttributes,height 5 ft 3 in,height 5 ft 7 in,0.67,0.94,1.6
additionalAttributes,women's shoe size 12,women's shoe size 6,0.67,0.92,1.59
additionalAttributes,height nearly 6 feet,height nearly 7 feet,0.6,0.95,1.55
additionalAttributes,never been outside United States,never traveled outside United States,0.67,0.88,1.55
additionalAttributes,lottery secret,won lottery secret,0.67,0.88,1.54
additionalAttributes,has never been to beach,has never been to city,0.67,0.84,1.51
additionalAttributes,worked at cable company,worked for cable company,0.6,0.89,1.49
additionalAttributes,has never been to Canada,has never been to city,0.67,0.83,1.49
additionalAttributes,long hair,long red hair,0.67,0.82,1.48
additionalAttributes,blonde hair,long blonde hair,0.67,0.81,1.48
additionalAttributes,has never been to Canada,has never been to beach,0.67,0.81,1.48
additionalAttributes,height nearly 6 feet,height under 6 feet,0.6,0.87,1.47
additionalAttributes,brown hair,long brown hair,0.67,0.8,1.47
additionalAttributes,curly dark hair,curly hair,0.67,0.8,1.47
additionalAttributes,curly hair,long curly hair,0.67,0.8,1.47
additionalAttributes,curly hair,very curly hair,0.67,0.8,1.47
additionalAttributes,black hair,black spiky hair,0.67,0.77,1.44
additionalAttributes,black hair,curly black hair,0.67,0.77,1.44
additionalAttributes,brown hair,curly brown hair,0.67,0.77,1.44
additionalAttributes,brown hair,sandy brown hair,0.67,0.77,1.44
additionalAttributes,curly black hair,curly hair,0.67,0.77,1.44
additionalAttributes,curly brown hair,curly hair,0.67,0.77,1.44
additionalAttributes,long red hair,red hair,0.67,0.76,1.43
additionalAttributes,won lottery,won lottery secret,0.67,0.76,1.43
additionalAttributes,long brown hair,long hair,0.67,0.75,1.42
additionalAttributes,long curly hair,long hair,0.67,0.75,1.42
additionalAttributes,height 5 ft,height 5 ft 3 in,0.6,0.81,1.41
additionalAttributes,height 5 ft,height 5 ft 7 in,0.6,0.81,1.41
additionalAttributes,height 5 ft,height 6 ft,0.5,0.91,1.41
additionalAttributes,height 5 ft,height 7 ft,0.5,0.91,1.41
additionalAttributes,height 6 ft,height 7 ft,0.5,0.91,1.41
additionalAttributes,long blonde hair,long hair,0.67,0.72,1.39
additionalAttributes,traveled to Asia,traveled to Australia,0.5,0.86,1.36
additionalAttributes,intern at Google,worked as intern at Google,0.6,0.76,1.36
additionalAttributes,has never traveled abroad,has never traveled internationally,0.6,0.75,1.35
additionalAttributes,height 5 ft 7 in,height 7 ft,0.6,0.74,1.34
additionalAttributes,curly black hair,curly dark hair,0.5,0.84,1.34
additionalAttributes,drives black car,drives blue car,0.5,0.84,1.34
additionalAttributes,long blonde hair,long brown hair,0.5,0.84,1.34
additionalAttributes,won spelling bee,won spelling bee third grade,0.6,0.73,1.33
additionalAttributes,has six tattoos,has two tattoos,0.5,0.8,1.3
additionalAttributes,has six tattoos,has sleeve tattoos,0.5,0.79,1.29
additionalAttributes,long brown hair,long red hair,0.5,0.79,1.29
additionalAttributes,long curly hair,long red hair,0.5,0.79,1.29
additionalAttributes,works for Nike,works for PETA,0.5,0.79,1.29
additionalAttributes,works for Nike,works for navy,0.5,0.79,1.29
additionalAttributes,works for PETA,works for navy,0.5,0.79,1.29
additionalAttributes,traveled to Europe,traveled to Mexico,0.5,0.78,1.28
additionalAttributes,curly brown hair,curly dark hair,0.5,0.77,1.27
additionalAttributes,curly brown hair,long brown hair,0.5,0.77,1.27
additionalAttributes,long brown hair,sandy brown hair,0.5,0.77,1.27
additionalAttributes,familiar with doctors,familiar with hospitals,0.5,0.77,1.27
additionalAttributes,traveled to Asia,traveled to Mexico,0.5,0.76,1.26
additionalAttributes,long blonde hair,long red hair,0.5,0.76,1.26
additionalAttributes,blonde,not blonde,0.5,0.75,1.25
additionalAttributes,curly black hair,curly brown hair,0.5,0.75,1.25
additionalAttributes,curly brown hair,sandy brown hair,0.5,0.75,1.25
additionalAttributes,traveled to Asia,traveled to Ireland,0.5,0.74,1.24
additionalAttributes,army veteran,veteran,0.5,0.74,1.24
additionalAttributes,long brown hair,long curly hair,0.5,0.73,1.23
additionalAttributes,long curly hair,very curly hair,0.5,0.73,1.23
additionalAttributes,works for architectural firm,works for large law firm,0.5,0.73,1.23
additionalAttributes,has sleeve tattoos,has two tattoos,0.5,0.73,1.23
additionalAttributes,works for large company,works for large law firm,0.5,0.72,1.22
additionalAttributes,traveled to Australia,traveled to Europe,0.5,0.72,1.22
additionalAttributes,long blonde hair,long curly hair,0.5,0.71,1.21
additionalAttributes,works for Nike,works for brewery,0.5,0.71,1.21
additionalAttributes,works for PETA,works for brewery,0.5,0.71,1.21
additionalAttributes,works for brewery,works for navy,0.5,0.71,1.21
additionalAttributes,blonde,blonde hair,0.5,0.71,1.21
additionalAttributes,traveled to Asia,traveled to Europe,0.5,0.71,1.21
additionalAttributes,traveled to Europe,traveled to Ireland,0.5,0.7,1.2
additionalAttributes,traveled to Ireland,traveled to Mexico,0.5,0.7,1.2
additionalAttributes,had dog,has dog,0.33,0.86,1.19
additionalAttributes,attends private high school,attends school,0.5,0.68,1.18
additionalAttributes,name: Omar,name: Tom,0.33,0.84,1.18
additionalAttributes,curly dark hair,long curly hair,0.5,0.67,1.17
additionalAttributes,curly dark hair,very curly hair,0.5,0.67,1.17
additionalAttributes,lives in Vermont,lives in house,0.5,0.67,1.17
additionalAttributes,traveled to Australia,traveled to Mexico,0.5,0.67,1.17
additionalAttributes,height nearly 7 feet,height under 6 feet,0.33,0.82,1.15
additionalAttributes,traveled to Australia,traveled to Ireland,0.5,0.65,1.15
additionalAttributes,curly black hair,long curly hair,0.5,0.65,1.15
additionalAttributes,curly black hair,very curly hair,0.5,0.65,1.15
additionalAttributes,curly brown hair,long curly hair,0.5,0.65,1.15
additionalAttributes,curly brown hair,very curly hair,0.5,0.65,1.15
additionalAttributes,worked for cable company,works for large company,0.33,0.81,1.14
additionalAttributes,social sciences student,studying social sciences,0.5,0.64,1.14
additionalAttributes,blonde hair,long hair,0.33,0.8,1.13
additionalAttributes,black spiky hair,curly black hair,0.5,0.62,1.12
additionalAttributes,blue,blue eyes,0.5,0.62,1.12
additionalAttributes,high school valedictorian,teaches high school,0.5,0.5,1.0
